destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,6827945,3692951,3134994,-77,38.9,-99.1,19.24,0,0
Ukraine,Russia,4355392,1829955,2525437,30.5,50.4,37.6,55.7,0,0
India,Bangladesh,4127135,2180615,1946520,77.2,28.6,90.26,23.43,0,0
Russia,Ukraine,3485074,1694890,1790184,37.6,55.7,30.5,50.4,0,0
Iran,Afghanistan,2660518,1471768,1188750,51.3,35.4,69.1,34.3,0,0
Russia,Kazakhstan,2506132,1209241,1296891,37.6,55.7,71.4,51.1,0,0
Pakistan,India,2365884,1284253,1081631,73.1,33.4,77.2,28.6,0,0
Kazakhstan,Russia,2253497,1020754,1232743,71.4,51.1,37.6,55.7,0,0
India,Pakistan,1637255,863727,773528,77.2,28.6,73.1,33.4,0,0
Germany,Turkey,1617880,866589,751291,13.3,52.3,32.54,39.57,0,0
USA,Puerto Rico,1384103,627381,756722,-77,38.9,-66.1,18.3,0,0
Pakistan,Afghanistan,1291867,660633,631234,73.1,33.4,69.1,34.3,0,0
Uzbekistan,Russia,1161963,498572,663391,69.2,41.2,37.6,55.7,0,0
USA,Philippines,1156143,448777,707366,-77,38.9,121,14.4,0,0
Jordan,State of Palestine,1140038,540174,599864,35.52,31.57,35.2,32.03,0,0
Congo,Rwanda,1132791,562103,570688,15.12,-4.09,30.04,-1.59,0,0
C?te d'Ivoire,Burkina Faso,1114233,623756,490477,-5.2,6.5,-1.55,12.2,0,0
Australia,United Kingdom,1100221,554569,545652,149.1,-35.3,-0.1,51.4,0,0
USA,China,1058487,519973,538514,-77,38.9,116.4,39.9,0,0
Saudi Arabia,India,929709,627174,302535,46.6,24.7,77.2,28.6,0,0
Russia,Uzbekistan,918869,458355,460514,37.6,55.7,69.2,41.2,0,0
Russia,Azerbaijan,905728,481763,423965,37.6,55.7,49.52,40.24,0,0
Russia,Belarus,886234,416615,469619,37.6,55.7,27.5,53.9,0,0
USA,Cuba,815617,389993,425624,-77,38.9,-82.2,23.1,0,0
France,Algeria,814417,454931,359486,2.2,48.5,3.1,36.4,0,0
France,Portugal,806641,411971,394670,2.2,48.5,-9.1,38.4,0,0
USA,Canada,793278,263738,529540,-77,38.9,-75.6,45.4,0,0
USA,Viet Nam,775967,400638,375329,-77,38.9,105.6,21.1,0,0
Belarus,Russia,749767,333116,416651,27.5,53.9,37.6,55.7,0,0
USA,India,746337,397485,348852,-77,38.9,77.2,28.6,0,0
France,Morocco,737068,399678,337390,2.2,48.5,-6.5,34,0,0
USA,South Korea,725849,356510,369339,-77,38.9,126.6,37.3,0,0
USA,Germany,718811,352821,365990,-77,38.9,13.3,52.3,0,0
United Arab Emirates,India,667853,506060,161793,54.3,24.4,77.2,28.6,-30,8
USA,United Kingdom,667769,327800,339969,-77,38.9,-0.1,51.4,0,0
Japan,South Korea,660554,339998,320556,139.7,35.7,126.6,37.3,0,0
Russia,Georgia,653159,337869,315290,37.6,55.7,44.5,41.43,0,0
Saudi Arabia,Indonesia,650793,434034,216759,46.6,24.7,106.5,-6.1,0,0
USA,El Salvador,649970,332169,317801,-77,38.9,-89.1,13.4,0,0
Canada,United Kingdom,641095,310738,330357,-75.6,45.4,-0.1,51.4,0,0
Tanzania,Rwanda,600656,294994,305662,35.45,-6.08,30.04,-1.59,0,0
India,Nepal,591200,266232,324968,77.2,28.6,85.2,27.45,0,0
Venezuela,Colombia,588323,278046,310277,-66.6,6.4,-74.3,4.6,0,0
Saudi Arabia,Pakistan,570555,393823,176732,46.6,24.7,73.1,33.4,0,0
United Kingdom,Ireland,559011,251820,307191,-0.1,51.4,-6.15,53.21,0,0
France,Italy,538661,262716,275945,2.2,48.5,12.3,41.5,0,0
USA,Italy,534018,235839,298179,-77,38.9,12.3,41.5,0,0
USA,Dominican Republic,524698,230385,294313,-77,38.9,-61.24,15.2,0,0
Russia,Armenia,516425,275248,241177,37.6,55.7,44.3,40.1,0,0
Nepal,India,515578,132220,383358,85.2,27.45,77.2,28.6,0,0
Germany,Serbia,512812,278205,234607,13.3,52.3,20.45,44.78,0,0
Croatia,Bosnia and Herzegovina,506365,240940,265425,15.58,45.5,19.26,43.52,0,0
